,YKR_ID,zipcode
712,5825634,01450
713,5825635,01450
714,5825636,01450
715,5825637,01450
716,5825638,01450
717,5825639,01450
718,5825640,01450
719,5825641,01450
720,5825642,01450
721,5825643,01450
722,5825644,01450
723,5825645,01450
724,5825646,01450
725,5825647,01450
726,5825648,01450
727,5825649,01450
728,5825650,01450
729,5825651,01450
730,5825652,01450
731,5825653,01450
732,5825654,99999
733,5825655,99999
734,5825656,99999
735,5825657,99999
736,5825658,99999
737,5827432,02980
738,5827433,02980
739,5827434,02980
740,5827435,02980
741,5827436,02980
742,5827437,02980
743,5827438,02980
744,5827439,02980
745,5827440,02980
746,5827441,02980
747,5827442,02980
748,5827443,02980
749,5827444,02980
750,5827445,02980
751,5827446,02980
752,5827447,02980
753,5827448,02980
754,5827449,02970
755,5827450,02970
756,5827451,02970
757,5827452,02970
758,5827453,02970
759,5827454,02970
760,5827455,02970
761,5827456,02970
762,5827457,02970
763,5827464,01750
764,5827465,01750
765,5827466,01750
766,5827467,01750
767,5827468,01750
768,5827469,01750
769,5827470,01750
770,5827471,01750
771,5827472,01750
772,5827473,01750
773,5827474,01750
774,5827475,01750
775,5827476,01750
776,5827477,01750
777,5827478,01750
778,5827479,01760
779,5827480,01760
780,5827481,01760
781,5827482,01760
782,5827483,01760
783,5827484,01760
784,5827485,01760
785,5827486,01760
786,5827487,01760
787,5827488,01760
788,5827489,01760
789,5827490,01760
790,5827491,01760
791,5827492,01760
792,5827493,01760
793,5827494,01760
794,5827495,01760
795,5827496,01760
796,5827497,01760
797,5827498,01760
798,5827499,01760
799,5827500,01760
800,5827501,01760
801,5827526,01450
802,5827527,01450
803,5827528,01450
804,5827529,01450
805,5827530,01450
806,5827531,01450
807,5827532,01450
808,5827533,01450
809,5827534,01450
810,5827535,01450
811,5827536,01450
812,5827537,01450
813,5827538,01450
814,5827539,01450
815,5827540,01450
816,5827541,01480
817,5827542,01480
818,5827543,01480
819,5827544,01450
820,5827545,99999
821,5827546,99999
822,5827547,99999
823,5827548,99999
824,5827549,99999
825,5829322,02980
826,5829323,02980
827,5829324,02980
828,5829325,02980
829,5829326,02980
830,5829327,02980
831,5829328,02980
832,5829329,02980
833,5829330,02980
834,5829331,02980
835,5829332,02980
836,5829333,02980
837,5829334,02980
838,5829335,02980
839,5829336,02980
840,5829337,02980
841,5829338,02980
842,5829339,02970
843,5829340,02970
844,5829341,02970
845,5829342,02970
846,5829343,02970
847,5829344,02970
848,5829345,02970
849,5829346,02970
850,5829347,02970
851,5829348,02970
852,5829349,02970
853,5829353,99999
854,5829354,01750
855,5829355,01750
856,5829356,01750
857,5829357,01750
858,5829358,01750
859,5829359,01750
860,5829360,01750
861,5829361,01750
862,5829362,01750
863,5829363,01750
864,5829364,01750
865,5829365,01750
866,5829366,01750
867,5829367,01750
868,5829368,01760
869,5829369,01760
870,5829370,01760
871,5829371,01760
872,5829372,01760
873,5829373,01760
874,5829374,01760
